,0,1,2,3,4,5,6,7,8
105,3,1.0,2.0,,,,,,
106,1,2.0,3.0,,,,,,
107,1,3.0,2.0,6.0,0.0,,,,
108,1,,,,,,,,
109,4,2.0,7.0,1.0,3.0,,,,
110,1,7.0,8.0,,,,,,
113,3,7.0,1.0,6.0,,,,,
114,0,7.0,1.0,3.0,,,,,
115,3,1.0,,,,,,,
116,3,1.0,,,,,,,
117,5,,,,,,,,
119,2,6.0,3.0,4.0,7.0,,,,
120,3,7.0,1.0,,,,,,
121,1,0.0,7.0,6.0,8.0,,,,
122,1,8.0,7.0,,,,,,
123,7,2.0,,,,,,,
124,3,1.0,2.0,7.0,4.0,,,,
125,6,,,,,,,,
126,2,,,,,,,,
127,2,5.0,8.0,3.0,4.0,,,,
128,1,,,,,,,,
129,4,3.0,1.0,2.0,7.0,,,,
130,2,4.0,3.0,7.0,0.0,,,,
131,1,6.0,2.0,7.0,3.0,,,,
137,8,0.0,4.0,6.0,1.0,,,,
138,1,8.0,4.0,,,,,,
139,3,1.0,,,,,,,
141,5,,,,,,,,
142,2,4.0,3.0,6.0,1.0,,,,
143,3,1.0,8.0,,,,,,
144,8,4.0,3.0,1.0,7.0,,,,
147,1,7.0,3.0,0.0,4.0,,,,
148,5,1.0,8.0,2.0,,,,,
149,4,8.0,6.0,2.0,1.0,,,,
151,8,7.0,1.0,4.0,,,,,
153,1,,,,,,,,
157,7,8.0,0.0,3.0,,,,,
159,0,3.0,7.0,2.0,1.0,,,,
160,1,7.0,4.0,3.0,2.0,,,,
161,8,7.0,6.0,4.0,2.0,,,,
162,8,1.0,4.0,2.0,0.0,,,,
163,7,1.0,2.0,3.0,8.0,,,,
165,7,1.0,6.0,4.0,0.0,,,,
170,6,1.0,8.0,3.0,5.0,,,,
172,7,,,,,,,,
173,8,5.0,1.0,,,,,,
174,1,8.0,4.0,3.0,6.0,,,,
175,7,8.0,,,,,,,
177,8,4.0,5.0,1.0,2.0,,,,
178,4,5.0,6.0,7.0,0.0,,,,
182,7,1.0,,,,,,,
183,7,3.0,,,,,,,
184,1,7.0,8.0,6.0,3.0,,,,
190,3,1.0,7.0,,,,,,
193,0,1.0,8.0,3.0,4.0,,,,
195,4,,,,,,,,
197,3,7.0,2.0,4.0,6.0,,,,
199,7,1.0,8.0,,,,,,
200,8,,,,,,,,
202,7,0.0,,,,,,,
203,2,3.0,,,,,,,
207,1,,,,,,,,
209,7,,,,,,,,
212,4,7.0,1.0,,,,,,
213,5,1.0,3.0,,,,,,
215,8,,,,,,,,
217,7,1.0,0.0,8.0,,,,,
218,3,5.0,2.0,1.0,0.0,,,,
219,8,,,,,,,,
220,1,,,,,,,,
224,2,1.0,3.0,0.0,7.0,,,,
225,3,2.0,,,,,,,
227,7,1.0,,,,,,,
228,7,,,,,,,,
231,7,3.0,1.0,8.0,6.0,,,,
232,3,5.0,1.0,,,,,,
234,8,7.0,,,,,,,
235,1,3.0,4.0,,,,,,
236,1,3.0,4.0,6.0,7.0,,,,
237,1,,,,,,,,
238,1,0.0,7.0,6.0,4.0,,,,
239,2,1.0,3.0,8.0,4.0,,,,
241,4,1.0,,,,,,,
244,1,,,,,,,,
247,0,5.0,7.0,2.0,6.0,,,,
248,3,,,,,,,,
249,7,4.0,6.0,2.0,3.0,,,,
250,3,2.0,4.0,1.0,0.0,,,,
254,5,,,,,,,,
262,1,7.0,6.0,0.0,,,,,
264,1,7.0,8.0,,,,,,
265,8,1.0,3.0,7.0,4.0,,,,
268,3,,,,,,,,
269,4,,,,,,,,
273,1,,,,,,,,
274,8,,,,,,,,
276,4,,,,,,,,
278,3,,,,,,,,
279,8,4.0,7.0,6.0,3.0,,,,
280,1,8.0,4.0,3.0,6.0,,,,
284,1,4.0,8.0,5.0,,,,,
286,1,7.0,4.0,8.0,,,,,
289,2,7.0,1.0,,,,,,
290,4,1.0,2.0,7.0,3.0,,,,
292,7,1.0,,,,,,,
293,7,2.0,0.0,4.0,8.0,,,,
295,4,8.0,0.0,1.0,7.0,,,,
298,1,3.0,,,,,,,
299,1,,,,,,,,
302,6,1.0,2.0,3.0,4.0,,,,
305,3,1.0,7.0,8.0,6.0,,,,
307,1,,,,,,,,
310,4,7.0,1.0,3.0,8.0,,,,
312,1,7.0,4.0,3.0,,,,,
314,4,7.0,8.0,1.0,0.0,,,,
316,1,,,,,,,,
321,1,,,,,,,,
323,1,7.0,8.0,4.0,3.0,,,,
325,8,,,,,,,,
330,8,,,,,,,,
336,2,1.0,4.0,7.0,6.0,,,,
337,1,7.0,6.0,,,,,,
343,1,3.0,7.0,,,,,,
344,1,3.0,2.0,8.0,4.0,,,,
345,0,3.0,,,,,,,
347,8,4.0,6.0,7.0,2.0,,,,
348,0,7.0,,,,,,,
351,2,,,,,,,,
352,2,6.0,,,,,,,
354,8,,,,,,,,
356,7,1.0,3.0,0.0,4.0,,,,
357,8,,,,,,,,
363,5,7.0,3.0,1.0,,,,,
364,8,7.0,,,,,,,
367,8,7.0,3.0,4.0,1.0,,,,
368,1,8.0,4.0,,,,,,
372,8,4.0,,,,,,,
373,4,7.0,1.0,3.0,,,,,
377,1,7.0,8.0,6.0,4.0,,,,
378,7,,,,,,,,
379,2,1.0,3.0,4.0,7.0,,,,
387,7,,,,,,,,
388,8,2.0,1.0,7.0,4.0,,,,
389,8,4.0,1.0,,,,,,
396,4,,,,,,,,
397,1,7.0,,,,,,,
399,7,,,,,,,,
401,2,3.0,1.0,7.0,6.0,,,,
405,5,2.0,4.0,7.0,3.0,,,,
406,1,0.0,7.0,6.0,5.0,,,,
407,1,,,,,,,,
408,2,4.0,0.0,5.0,7.0,,,,
409,3,2.0,7.0,1.0,6.0,,,,
410,8,7.0,1.0,4.0,3.0,,,,
413,7,1.0,,,,,,,
414,7,4.0,,,,,,,
416,1,7.0,3.0,8.0,4.0,,,,
417,1,3.0,8.0,4.0,6.0,,,,
422,1,7.0,5.0,8.0,4.0,,,,
423,4,3.0,1.0,,,,,,
424,4,7.0,,,,,,,
425,0,3.0,1.0,7.0,4.0,,,,
426,1,8.0,,,,,,,
428,6,8.0,1.0,3.0,2.0,,,,
429,5,,,,,,,,
430,3,7.0,6.0,8.0,,,,,
431,4,,,,,,,,
432,1,3.0,2.0,7.0,4.0,,,,
433,1,7.0,4.0,,,,,,
434,2,,,,,,,,
436,3,8.0,4.0,1.0,2.0,,,,
437,2,4.0,,,,,,,
440,1,3.0,7.0,2.0,8.0,,,,
441,6,,,,,,,,
442,4,,,,,,,,
444,7,1.0,3.0,8.0,2.0,,,,
445,8,,,,,,,,
447,5,,,,,,,,
448,1,2.0,4.0,7.0,3.0,,,,
450,1,,,,,,,,
453,1,3.0,2.0,4.0,7.0,,,,
454,3,2.0,,,,,,,
455,8,1.0,,,,,,,
456,2,7.0,1.0,3.0,,,,,
457,2,1.0,4.0,,,,,,
461,1,,,,,,,,
462,5,,,,,,,,
464,7,2.0,3.0,6.0,1.0,,,,
466,2,3.0,4.0,1.0,6.0,,,,
471,7,6.0,1.0,,,,,,
473,2,1.0,7.0,3.0,8.0,,,,
474,1,7.0,2.0,4.0,0.0,,,,
475,7,1.0,6.0,3.0,8.0,,,,
476,3,8.0,4.0,7.0,1.0,,,,
477,5,,,,,,,,
479,2,4.0,7.0,1.0,,,,,
482,1,,,,,,,,
492,1,7.0,6.0,3.0,4.0,,,,
494,2,4.0,6.0,0.0,8.0,,,,
496,7,,,,,,,,
499,1,7.0,,,,,,,
501,8,,,,,,,,
502,3,6.0,5.0,2.0,4.0,,,,
504,8,1.0,4.0,5.0,,,,,
506,4,3.0,1.0,2.0,7.0,,,,
508,1,,,,,,,,
509,7,1.0,0.0,5.0,6.0,,,,
512,3,1.0,2.0,5.0,7.0,,,,
515,2,4.0,,,,,,,
516,3,7.0,1.0,2.0,8.0,,,,
517,3,5.0,7.0,8.0,6.0,,,,
519,4,1.0,3.0,2.0,,,,,
523,7,4.0,1.0,,,,,,
530,3,8.0,4.0,5.0,7.0,,,,
531,1,7.0,3.0,6.0,4.0,,,,
532,2,1.0,3.0,7.0,5.0,,,,
534,8,,,,,,,,
538,1,7.0,3.0,8.0,4.0,,,,
541,0,7.0,1.0,,,,,,
542,8,1.0,,,,,,,
543,2,,,,,,,,
545,7,,,,,,,,
546,3,7.0,8.0,4.0,2.0,,,,
547,4,3.0,1.0,5.0,2.0,,,,
550,6,1.0,3.0,8.0,2.0,,,,
553,7,1.0,6.0,,,,,,
554,5,2.0,1.0,3.0,,,,,
557,2,4.0,,,,,,,
561,1,,,,,,,,
562,0,4.0,5.0,6.0,2.0,,,,
563,5,,,,,,,,
565,8,,,,,,,,
566,5,7.0,1.0,,,,,,
567,2,7.0,3.0,0.0,4.0,,,,
572,2,7.0,3.0,8.0,,,,,
573,4,,,,,,,,
575,3,7.0,8.0,4.0,2.0,,,,
577,7,8.0,6.0,1.0,4.0,,,,
578,4,,,,,,,,
580,4,8.0,1.0,7.0,2.0,,,,
581,8,4.0,,,,,,,
583,2,3.0,1.0,6.0,7.0,,,,
584,3,,,,,,,,
586,7,1.0,3.0,8.0,4.0,,,,
587,7,3.0,8.0,1.0,4.0,,,,
588,1,7.0,6.0,4.0,3.0,,,,
589,3,1.0,7.0,,,,,,
590,4,1.0,3.0,0.0,8.0,,,,
591,5,,,,,,,,
593,4,,,,,,,,
594,7,,,,,,,,
595,1,3.0,2.0,7.0,4.0,,,,
596,7,2.0,1.0,6.0,8.0,,,,
598,1,2.0,5.0,8.0,4.0,,,,
601,5,,,,,,,,
604,8,3.0,7.0,1.0,4.0,,,,
605,1,,,,,,,,
608,1,8.0,,,,,,,
609,0,2.0,,,,,,,
611,3,2.0,,,,,,,
614,7,8.0,1.0,3.0,4.0,,,,
615,7,1.0,,,,,,,
617,6,2.0,1.0,7.0,8.0,,,,
620,4,7.0,2.0,,,,,,
625,7,3.0,,,,,,,
626,1,5.0,8.0,4.0,6.0,,,,
628,6,,,,,,,,
629,1,4.0,7.0,6.0,3.0,,,,
630,2,,,,,,,,
635,1,,,,,,,,
636,3,,,,,,,,
639,7,,,,,,,,
641,8,1.0,7.0,,,,,,
644,1,3.0,,,,,,,
647,1,4.0,2.0,8.0,,,,,
648,1,2.0,4.0,5.0,7.0,,,,
651,1,8.0,3.0,7.0,6.0,,,,
655,7,,,,,,,,
658,2,,,,,,,,
661,7,2.0,6.0,0.0,8.0,,,,
663,1,6.0,4.0,3.0,2.0,,,,
666,4,5.0,1.0,7.0,,,,,
668,1,6.0,3.0,4.0,2.0,,,,
669,7,1.0,2.0,0.0,8.0,,,,
671,6,3.0,5.0,1.0,7.0,,,,
672,3,5.0,,,,,,,
673,2,1.0,6.0,0.0,8.0,,,,
678,8,,,,,,,,
681,4,1.0,3.0,,,,,,
682,3,1.0,7.0,,,,,,
684,4,8.0,1.0,3.0,7.0,,,,
685,2,1.0,6.0,,,,,,
688,8,7.0,1.0,4.0,5.0,,,,
689,3,1.0,2.0,4.0,0.0,,,,
691,8,5.0,7.0,1.0,,,,,
693,1,7.0,3.0,,,,,,
694,7,1.0,2.0,4.0,3.0,,,,
695,6,0.0,1.0,,,,,,
699,1,,,,,,,,
701,4,8.0,2.0,7.0,,,,,
702,4,8.0,3.0,1.0,2.0,,,,
704,1,4.0,7.0,3.0,2.0,,,,
705,2,3.0,1.0,4.0,6.0,,,,
711,1,3.0,7.0,4.0,,,,,
712,1,8.0,4.0,3.0,6.0,,,,
713,1,7.0,8.0,4.0,2.0,,,,
715,7,,,,,,,,
716,7,1.0,3.0,4.0,8.0,,,,
717,5,0.0,7.0,,,,,,
718,7,2.0,0.0,4.0,8.0,,,,
719,2,0.0,5.0,1.0,7.0,,,,
720,8,5.0,4.0,7.0,1.0,,,,
721,7,1.0,4.0,2.0,3.0,,,,
722,2,1.0,3.0,4.0,7.0,,,,
724,3,7.0,1.0,8.0,,,,,
725,1,,,,,,,,
726,8,4.0,1.0,2.0,,,,,
729,7,4.0,,,,,,,
731,1,,,,,,,,
732,5,,,,,,,,
733,2,7.0,1.0,,,,,,
737,1,,,,,,,,
740,7,1.0,3.0,,,,,,
745,7,8.0,6.0,1.0,4.0,,,,
746,3,,,,,,,,
747,1,5.0,6.0,3.0,8.0,,,,
749,8,4.0,7.0,1.0,3.0,,,,
754,4,8.0,7.0,1.0,3.0,,,,
755,4,7.0,1.0,3.0,6.0,,,,
759,1,,,,,,,,
760,5,4.0,2.0,3.0,8.0,,,,
761,7,4.0,6.0,1.0,,,,,
762,1,7.0,6.0,4.0,2.0,,,,
764,1,7.0,2.0,3.0,8.0,,,,
765,2,,,,,,,,
768,3,7.0,1.0,8.0,4.0,,,,
769,8,7.0,,,,,,,
772,2,,,,,,,,
775,1,,,,,,,,
776,1,8.0,2.0,4.0,3.0,,,,
778,0,1.0,4.0,7.0,3.0,,,,
779,7,,,,,,,,
780,2,1.0,5.0,3.0,4.0,,,,
781,1,8.0,3.0,7.0,,,,,
783,3,2.0,5.0,4.0,,,,,
785,6,7.0,5.0,8.0,3.0,,,,
787,1,2.0,3.0,,,,,,
790,7,1.0,2.0,0.0,8.0,,,,
791,1,7.0,5.0,8.0,4.0,,,,
792,1,3.0,,,,,,,
794,7,3.0,,,,,,,
798,4,0.0,6.0,7.0,5.0,,,,
799,7,1.0,5.0,0.0,,,,,
801,1,8.0,6.0,7.0,,,,,
802,4,,,,,,,,
804,1,5.0,7.0,6.0,8.0,,,,
805,7,,,,,,,,
806,7,3.0,,,,,,,
807,1,8.0,,,,,,,
811,1,,,,,,,,
812,4,8.0,1.0,2.0,7.0,,,,
815,1,,,,,,,,
817,3,,,,,,,,
818,0,4.0,6.0,7.0,2.0,,,,
820,8,,,,,,,,
822,2,,,,,,,,
828,1,4.0,3.0,,,,,,
831,2,,,,,,,,
832,7,3.0,4.0,8.0,5.0,,,,
833,2,,,,,,,,
836,6,1.0,2.0,4.0,3.0,,,,
839,1,3.0,7.0,8.0,4.0,,,,
844,7,3.0,6.0,8.0,1.0,,,,
847,7,1.0,3.0,,,,,,
848,8,5.0,7.0,4.0,1.0,,,,
850,1,3.0,4.0,6.0,,,,,
855,7,,,,,,,,
857,4,5.0,2.0,3.0,6.0,,,,
858,7,,,,,,,,
864,2,7.0,5.0,3.0,,,,,
865,4,,,,,,,,
866,4,,,,,,,,
868,4,,,,,,,,
869,2,1.0,3.0,4.0,6.0,,,,
870,7,3.0,,,,,,,
871,8,,,,,,,,
872,7,1.0,3.0,4.0,2.0,,,,
875,7,1.0,,,,,,,
876,6,4.0,1.0,7.0,3.0,,,,
878,7,8.0,4.0,0.0,1.0,,,,
879,6,,,,,,,,
880,1,6.0,2.0,,,,,,
881,1,8.0,3.0,2.0,7.0,,,,
882,7,8.0,1.0,6.0,3.0,,,,
883,7,4.0,1.0,,,,,,
886,1,3.0,7.0,2.0,4.0,,,,
889,7,3.0,1.0,5.0,2.0,,,,
892,8,4.0,3.0,1.0,7.0,,,,
897,4,1.0,0.0,7.0,3.0,,,,
898,8,7.0,1.0,5.0,,,,,
899,3,4.0,,,,,,,
900,8,1.0,7.0,3.0,6.0,,,,
901,1,,,,,,,,
902,1,6.0,5.0,3.0,8.0,,,,
904,2,3.0,1.0,,,,,,
908,1,,,,,,,,
910,5,6.0,4.0,2.0,8.0,,,,
911,4,7.0,6.0,1.0,2.0,,,,
920,7,1.0,2.0,5.0,3.0,,,,
921,5,3.0,8.0,1.0,4.0,,,,
923,1,,,,,,,,
924,7,4.0,1.0,3.0,8.0,,,,
930,3,5.0,,,,,,,
932,3,,,,,,,,
934,3,4.0,7.0,6.0,2.0,,,,
936,2,,,,,,,,
937,5,7.0,3.0,1.0,,,,,
942,6,1.0,4.0,8.0,0.0,,,,
944,1,2.0,0.0,7.0,6.0,,,,
945,8,5.0,7.0,1.0,4.0,,,,
946,7,3.0,8.0,,,,,,
947,8,,,,,,,,
948,8,1.0,3.0,,,,,,
950,8,7.0,3.0,5.0,6.0,,,,
951,4,1.0,7.0,,,,,,
954,8,,,,,,,,
959,1,,,,,,,,
961,1,3.0,0.0,,,,,,
964,3,,,,,,,,
966,3,7.0,1.0,4.0,,,,,
967,8,1.0,5.0,2.0,,,,,
968,2,1.0,7.0,,,,,,
969,6,7.0,3.0,0.0,,,,,
970,1,7.0,3.0,,,,,,
971,3,8.0,4.0,6.0,1.0,,,,
972,3,1.0,,,,,,,
973,7,3.0,4.0,8.0,2.0,,,,
974,5,3.0,1.0,7.0,4.0,,,,
975,3,,,,,,,,
977,8,,,,,,,,
978,7,3.0,1.0,4.0,8.0,,,,
979,8,,,,,,,,
980,7,1.0,2.0,5.0,6.0,,,,
982,6,8.0,1.0,4.0,2.0,,,,
1064,7,1.0,,,,,,,
1066,8,2.0,1.0,7.0,3.0,,,,
1067,1,7.0,3.0,6.0,2.0,,,,
1069,3,7.0,2.0,0.0,8.0,,,,
1070,3,7.0,8.0,,,,,,
1071,8,7.0,6.0,1.0,4.0,,,,
1072,7,8.0,,,,,,,
1074,7,5.0,6.0,8.0,4.0,,,,
1075,8,6.0,1.0,7.0,4.0,,,,
1076,7,,,,,,,,
1078,8,1.0,,,,,,,
1080,1,5.0,4.0,,,,,,
1082,4,8.0,2.0,,,,,,
1083,4,7.0,1.0,3.0,8.0,,,,
1085,1,2.0,6.0,5.0,3.0,,,,
1086,1,4.0,8.0,6.0,7.0,,,,
1087,8,4.0,7.0,,,,,,
1089,6,8.0,3.0,,,,,,
1090,1,,,,,,,,
1097,5,7.0,1.0,4.0,8.0,,,,
1104,1,7.0,4.0,6.0,3.0,,,,
1105,8,7.0,1.0,4.0,3.0,,,,
1106,3,1.0,8.0,4.0,2.0,,,,
1108,7,6.0,1.0,2.0,3.0,,,,
1109,3,1.0,7.0,4.0,2.0,,,,
1114,4,1.0,,,,,,,
1115,7,1.0,,,,,,,
1118,1,,,,,,,,
1119,1,,,,,,,,
1122,7,4.0,1.0,3.0,,,,,
1123,3,2.0,1.0,4.0,5.0,,,,
1130,8,,,,,,,,
1131,1,,,,,,,,
1132,1,6.0,0.0,4.0,7.0,,,,
1133,7,,,,,,,,
1135,5,1.0,3.0,6.0,8.0,,,,
1136,3,1.0,,,,,,,
1137,7,3.0,1.0,4.0,8.0,,,,
1139,0,7.0,4.0,2.0,1.0,,,,
1141,2,6.0,3.0,8.0,,,,,
1143,1,7.0,,,,,,,
1145,4,,,,,,,,
1147,4,1.0,7.0,2.0,8.0,,,,
1149,1,,,,,,,,
1151,1,,,,,,,,
1152,8,,,,,,,,
1153,7,1.0,3.0,8.0,2.0,,,,
1158,0,2.0,5.0,6.0,8.0,,,,
1160,1,3.0,,,,,,,
1161,3,2.0,,,,,,,
1163,7,1.0,2.0,8.0,5.0,,,,
1174,7,8.0,3.0,1.0,6.0,,,,
1175,3,1.0,0.0,4.0,7.0,,,,
1176,3,5.0,1.0,,,,,,
1177,1,6.0,8.0,,,,,,
1178,8,3.0,4.0,1.0,5.0,,,,
1179,4,,,,,,,,
1184,1,4.0,3.0,7.0,8.0,,,,
1185,7,8.0,2.0,1.0,3.0,,,,
1186,5,,,,,,,,
1189,8,4.0,1.0,7.0,6.0,,,,
1191,7,1.0,6.0,,,,,,
1192,8,7.0,1.0,,,,,,
1195,2,,,,,,,,
1196,1,3.0,,,,,,,
1197,1,,,,,,,,
1198,7,1.0,,,,,,,
1200,6,1.0,,,,,,,
1203,7,3.0,,,,,,,
1204,8,,,,,,,,
1205,2,,,,,,,,
1206,4,,,,,,,,
1207,4,3.0,1.0,2.0,7.0,,,,
1209,2,,,,,,,,
1211,1,4.0,,,,,,,
1216,2,1.0,3.0,7.0,4.0,,,,
1218,1,3.0,8.0,4.0,2.0,,,,
1219,1,0.0,8.0,3.0,5.0,,,,
1221,2,7.0,1.0,6.0,,,,,
1223,1,,,,,,,,
1225,1,,,,,,,,
1227,1,8.0,6.0,3.0,7.0,,,,
1228,8,4.0,1.0,3.0,,,,,
1229,7,3.0,8.0,1.0,,,,,
1236,8,6.0,3.0,1.0,7.0,,,,
1237,7,5.0,2.0,3.0,4.0,,,,
1242,8,,,,,,,,
1243,7,3.0,,,,,,,
1244,1,3.0,7.0,4.0,2.0,,,,
1245,1,7.0,,,,,,,
1251,4,7.0,8.0,,,,,,
1253,3,1.0,7.0,2.0,8.0,,,,
1255,7,3.0,4.0,8.0,5.0,,,,
1256,1,7.0,3.0,6.0,5.0,,,,
1257,8,,,,,,,,
1258,8,2.0,1.0,,,,,,
1266,2,,,,,,,,
1267,1,2.0,3.0,7.0,,,,,
1268,7,1.0,2.0,8.0,6.0,,,,
1270,7,,,,,,,,
1271,2,,,,,,,,
1273,8,5.0,1.0,4.0,,,,,
1275,1,3.0,7.0,6.0,0.0,,,,
1276,7,3.0,,,,,,,
1278,1,7.0,,,,,,,
1279,7,1.0,2.0,3.0,8.0,,,,
1280,7,0.0,,,,,,,
1281,0,1.0,3.0,8.0,7.0,,,,
1283,8,2.0,5.0,4.0,3.0,,,,
1285,1,3.0,4.0,8.0,6.0,,,,
1288,1,5.0,,,,,,,
1289,1,,,,,,,,
1290,4,,,,,,,,
1291,8,7.0,1.0,4.0,3.0,,,,
1292,3,1.0,8.0,7.0,2.0,,,,
1293,1,,,,,,,,
1296,5,,,,,,,,
1383,6,,,,,,,,
1384,6,7.0,,,,,,,
1386,3,1.0,7.0,4.0,0.0,,,,
1387,4,,,,,,,,
1389,2,3.0,1.0,4.0,0.0,,,,
1391,8,7.0,4.0,,,,,,
1396,7,1.0,,,,,,,
1397,6,1.0,2.0,,,,,,
1398,6,0.0,,,,,,,
1399,2,5.0,,,,,,,
1401,8,3.0,7.0,4.0,1.0,,,,
1405,8,,,,,,,,
1406,4,2.0,1.0,3.0,0.0,,,,
1410,2,7.0,6.0,3.0,1.0,,,,
1414,4,7.0,6.0,8.0,1.0,,,,
1417,3,5.0,6.0,8.0,1.0,,,,
1419,2,7.0,1.0,6.0,5.0,,,,
1421,7,6.0,3.0,,,,,,
1424,3,7.0,1.0,5.0,4.0,,,,
1425,7,4.0,8.0,1.0,,,,,
1427,6,1.0,,,,,,,
1429,8,,,,,,,,
1431,7,1.0,5.0,8.0,,,,,
1432,7,1.0,3.0,8.0,4.0,,,,
1433,7,,,,,,,,
1434,0,,,,,,,,
1444,4,1.0,8.0,0.0,3.0,,,,
1450,6,2.0,1.0,4.0,7.0,,,,
1455,7,,,,,,,,
1459,1,8.0,2.0,4.0,0.0,,,,
1460,1,3.0,7.0,,,,,,
1461,1,8.0,7.0,3.0,2.0,,,,
1462,1,6.0,,,,,,,
1463,4,,,,,,,,
1467,4,,,,,,,,
1468,2,1.0,5.0,3.0,7.0,,,,
1469,4,8.0,3.0,1.0,7.0,,,,
1472,7,1.0,8.0,,,,,,
1474,7,3.0,,,,,,,
1475,2,,,,,,,,
1477,3,1.0,8.0,,,,,,
1478,1,6.0,8.0,4.0,0.0,,,,
1479,7,3.0,4.0,1.0,0.0,,,,
1484,3,1.0,2.0,8.0,4.0,,,,
1489,7,5.0,8.0,4.0,,,,,
1490,4,,,,,,,,
1491,7,8.0,,,,,,,
1492,2,3.0,,,,,,,
1493,7,6.0,1.0,,,,,,
1494,4,0.0,1.0,7.0,2.0,,,,
1495,2,,,,,,,,
1501,1,6.0,3.0,0.0,4.0,,,,
1502,1,,,,,,,,
1503,3,1.0,7.0,8.0,,,,,
1505,7,0.0,1.0,,,,,,
1506,1,5.0,8.0,4.0,,,,,
1508,3,7.0,8.0,4.0,2.0,,,,
1509,2,7.0,1.0,,,,,,
1514,5,8.0,3.0,1.0,4.0,,,,
1515,2,5.0,0.0,7.0,4.0,,,,
1518,1,0.0,8.0,6.0,7.0,,,,
1521,1,2.0,,,,,,,
1522,7,1.0,8.0,4.0,,,,,
1526,2,1.0,3.0,7.0,5.0,,,,
1529,3,7.0,1.0,6.0,0.0,,,,
1531,2,,,,,,,,
1532,7,2.0,,,,,,,
1537,8,6.0,5.0,0.0,2.0,,,,
1538,8,1.0,7.0,,,,,,
1545,7,1.0,8.0,4.0,5.0,,,,
1546,1,8.0,4.0,,,,,,
1548,2,,,,,,,,
1549,8,3.0,1.0,4.0,2.0,,,,
1552,0,,,,,,,,
1554,7,5.0,8.0,6.0,1.0,,,,
1556,7,8.0,1.0,4.0,3.0,,,,
1558,7,1.0,3.0,2.0,6.0,,,,
